2025-01-03,food,220
2025-01-05,fuel,400
2025-01-07,entertainment,300
2025-01-10,utilities,950
2025-01-15,rent,15000
2025-01-18,shopping,1200
2025-01-22,medical,800
2025-01-25,food,260
2025-02-02,food,240
2025-02-04,travel,1200
2025-02-07,fuel,420
2025-02-10,utilities,980
2025-02-14,entertainment,500
2025-02-15,rent,15000
2025-02-18,shopping,1400
2025-02-21,medical,900
2025-02-26,food,280
2025-03-01,food,250
2025-03-03,fuel,410
2025-03-06,travel,800
2025-03-10,utilities,1000
2025-03-12,education,3000
2025-03-15,rent,15000
2025-03-18,entertainment,350
2025-03-21,shopping,1600
2025-03-25,medical,600
2025-03-29,food,270
2025-04-02,food,260
2025-04-05,travel,1500
2025-04-07,fuel,430
2025-04-10,utilities,1100
2025-04-14,entertainment,400
2025-04-15,rent,15000
2025-04-18,shopping,1800
2025-04-22,medical,750
2025-04-27,food,290
2025-05-01,food,240
2025-05-03,fuel,450
2025-05-06,travel,900
2025-05-10,utilities,1050
2025-05-15,rent,15000
2025-05-18,shopping,2000
2025-05-20,entertainment,500
2025-05-24,medical,850
2025-05-29,food,300
2025-06-02,food,260
2025-06-04,travel,2200
2025-06-07,fuel,470
2025-06-10,utilities,1150
2025-06-15,rent,15000
2025-06-18,shopping,1700
2025-06-21,entertainment,450
2025-06-25,medical,1000
2025-06-28,food,280
2025-07-01,food,270
2025-07-03,fuel,480
2025-07-06,travel,1800
2025-07-10,utilities,1200
2025-07-15,rent,15000
2025-07-18,shopping,1600
2025-07-21,entertainment,600
2025-07-25,medical,900
2025-07-29,food,310
2025-08-02,food,260
2025-08-04,travel,1400
2025-08-07,fuel,460
2025-08-10,utilities,1100
2025-08-15,rent,15000
2025-08-18,shopping,1900
2025-08-20,entertainment,550
2025-08-24,medical,700
2025-08-28,food,290
2025-09-01,food,250
2025-09-03,fuel,430
2025-09-06,travel,1000
2025-09-10,utilities,1050
2025-09-15,rent,15000
2025-09-18,shopping,1700
2025-09-21,entertainment,450
2025-09-25,medical,800
2025-09-29,food,270
2025-10-02,food,260
2025-10-05,travel,1300
2025-10-07,fuel,440
2025-10-10,utilities,1080
2025-10-15,rent,15000
2025-10-18,shopping,2100
2025-10-22,entertainment,500
2025-10-25,medical,950
2025-10-29,food,300
2025-11-01,food,270
2025-11-03,fuel,450
2025-11-06,travel,1600
2025-11-10,utilities,1120
2025-11-15,rent,15000
2025-11-18,shopping,2300
2025-11-21,entertainment,600
2025-11-25,medical,1000
2025-11-29,food,320
2025-12-02,food,280
2025-12-05,travel,900
2025-12-07,fuel,470
2025-12-10,utilities,1200
2025-12-15,rent,15000
2025-12-18,shopping,2500
2025-12-21,entertainment,700
2025-12-25,medical,1200
2025-12-30,food,350
